# warm_hash 14674142271753866389
# repetition_hashes 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389 14674142271753866389
0 1054 62.9535599
1 0 0
2 1 0
3 2 0
4 3 0
5 4 0
6 1037 52.7219543
7 150 50.4635201
8 88 0
9 984 0
10 33 45.771965
11 251 0
12 211 0
13 634 25.5006313
14 1131 40.3103027
15 1131 40.3103027
16 526 70.5431976
17 340 0
18 606 42.1795082
19 638 27.1441631
20 51 0
21 619 0
22 621 0
23 13 0
24 1071 0
25 22 29.3388424
26 371 0
27 732 38.1083069
28 399 32.0621414
29 987 34.7969894
30 68 36.412365
31 86 0
32 408 0
33 470 40.9079514
34 8 0
35 775 34.63974
36 277 0
37 1059 46.4172325
38 211 0
39 408 0
40 485 0
41 1092 45.4099922
42 240 48.2007523
43 140 30.0315342
44 1027 0
45 1050 50.0175247
46 15 0
47 152 0
48 240 36.3594666
49 129 0
50 1158 0
51 22 30.4557381
52 606 42.1795082
53 57 0
54 58 0
55 357 45.2333565
56 80 0
57 70 0
58 340 26.0981255
59 402 0
60 22 17.5193119
61 722 0
62 621 40.3192368
63 87 24.8936119
64 724 55.9075546
65 153 0
66 734 30.814579
67 451 44.4216118
68 211 0
69 1124 39.0979843
70 3 0
71 4 0
72 11 0
73 282 0
74 359 47.1013184
75 592 0
76 499 0
77 2 0
78 116 0
79 640 51.2526169
80 1015 46.370121
81 21 0
82 348 49.1624069
83 16 41.5989685
84 80 0
85 0 0
86 378 0
87 1015 0
88 442 0
89 223 52.2150497
90 40 26.4070892
91 911 17.5646973
92 21 0
93 3 0
94 4 0
95 80 0
96 772 54.0176811
97 51 0
98 357 45.2333565
99 717 0
100 51 0
101 82 25.7307396
102 688 0
103 371 0
104 74 58.0719757
105 80 0
106 911 0
107 1098 45.8705101
108 40 0
109 502 0
110 251 0
111 1026 52.6156502
112 465 0
113 565 0
114 861 55.5764618
115 1042 29.32654
116 174 51.8182945
117 391 50.3715897
118 80 0
119 87 42.4145927
120 51 0
121 127 0
122 402 36.4635658
123 0 0
124 211 0
125 340 0
126 251 0
127 18 0
128 58 0
129 357 45.2333565
130 21 0
131 2 0
132 11 0
133 82 25.7307396
134 1137 49.5289497
135 958 40.0606499
136 683 40.0799866
137 19 0
138 1026 0
139 1146 56.2683411
140 587 0
141 1120 43.3821068
142 1074 0
143 811 49.8069
144 1074 16.1000996
145 874 57.3962555
146 151 41.891037
147 1104 55.4454765
148 408 0
149 525 37.109436
150 406 50.9536552
151 814 42.4399834
152 792 55.4089661
153 1149 0
154 592 41.7894669
155 814 42.4399834
156 1044 43.7849846
157 223 0
158 282 52.1864815
159 699 0
160 153 0
161 389 0
162 465 60.8573761
163 408 0
164 16 24.0328083
165 1098 59.9078331
166 8 0
167 609 53.4662857
168 1072 33.618042
169 352 0
170 615 57.1162262
171 343 0
172 1042 29.32654
173 389 54.0843735
174 687 19.0057774
175 902 0
176 811 49.8069
177 687 0
178 129 0
179 1038 46.4567299
180 944 55.577713
181 547 67.1026001
182 507 54.1253853
183 408 0
184 1098 49.5703049
185 151 41.891037
186 121 51.4022522
187 1088 38.2645569
188 289 0
189 335 0
190 667 0
191 51 0
192 115 55.0607414
193 1074 0
194 368 0
195 654 63.5070114
196 105 25.3207092
197 621 34.8335457
198 645 44.5757751
199 1042 29.32654
200 408 0
201 1157 0
202 115 55.0607414
203 1074 16.1000996
204 368 0
205 189 31.4137764
206 190 0
207 408 0
208 755 44.5828362
209 699 0
210 153 0
211 1136 29.8264351
212 786 32.7374191
213 814 42.4399834
214 282 52.1864815
215 223 0
216 683 23.7481461
217 408 0
218 1135 0
219 904 0
220 763 42.160347
221 507 0
222 640 58.9410934
223 814 42.4399834
224 189 31.4137764
225 614 25.481575
226 1055 27.4495544
227 490 48.5732574
228 749 48.2016487
229 164 0
230 527 0
231 1146 56.2683411
232 1074 0
233 1120 43.3821068
234 687 0
235 811 49.8069
236 1074 0
237 129 0
238 1072 33.618042
239 39 50.2929878
240 151 41.891037
241 1104 55.4454765
242 408 0
243 944 63.8629532
244 1072 33.618042
245 408 0
246 523 47.3221893
247 2 0
248 45 0
249 39 50.2929878
250 408 0
251 462 43.3942986
252 462 43.3942986
253 2 0
254 1072 33.618042
255 408 0
256 462 0
257 68 36.412365
258 904 0
259 1042 29.32654
260 807 41.7683563
261 389 54.0843735
262 1074 0
263 902 0
264 1137 58.7872314
265 699 0
266 153 0
267 408 0
268 140 0
269 125 50.4326057
270 1088 0
271 683 23.7481461
272 814 45.7583923
273 445 0
274 785 0
275 658 41.8913956
276 425 51.0792465
277 368 0
278 1136 29.8264351
279 408 0
280 465 60.8573761
281 1104 52.0815506
282 606 39.4566078
283 906 47.3886871
284 1031 45.4535065
285 59 0
286 229 56.9027596
287 1129 40.4748116
288 966 42.0012856
289 282 0
290 811 49.8069
291 1074 0
292 1120 43.3821068
293 129 0
294 904 0
295 408 0
296 253 40.6338501
297 497 0
