0	85233
1	57559
2	47187
3	42401
4	37332
5	34668
6	31326
7	28779
8	26345
9	24354
10	22221
11	21659
12	20547
13	19454
14	18189
15	18548
16	16583
17	16162
18	15504
19	14811
20	14109
21	13362
22	13338
23	12445
24	11514
25	11871
26	10902
27	10431
28	9869
29	9762
30	8985
31	8603
32	8552
33	7879
34	7945
35	7443
36	7271
37	6762
38	6567
39	6191
40	5927
41	5845
42	5758
43	5640
44	5987
45	5523
46	4996
47	4972
48	4855
49	4868
50	4389
51	3941
52	4258
53	3943
54	4274
55	3978
56	3900
57	3833
58	3805
59	3309
60	3163
61	3384
62	3082
63	3311
64	3341
65	2990
66	3052
67	2946
68	2919
69	2703
70	2667
71	2803
72	2492
73	2641
74	2725
75	2648
76	2543
77	2421
78	2338
79	2203
80	2432
81	2563
82	2420
83	2239
84	2224
85	2013
86	2121
87	2000
88	2139
89	1845
90	1918
91	2056
92	1836
93	1858
94	1919
95	1753
96	1740
97	1556
98	1566
99	1462
100	1585
101	1701
102	1661
103	1650
104	1743
105	1802
106	1553
107	1512
108	1410
109	1385
110	1487
111	1331
112	1431
113	1340
114	1268
115	1442
116	1091
117	1145
118	1050
119	1110
120	1069
121	946
122	884
123	914
124	996
125	1002
126	1003
127	1014
128	95440
