1	2869
2	1894
3	1691
4	2166
5	1499
6	1753
7	1860
8	1864
9	1647
10	1646
11	1375
12	1615
13	1504
14	1473
15	1686
16	1727
17	1440
18	1654
19	1633
20	1636
21	1455
22	1302
23	1686
24	1419
25	1384
26	1247
27	1541
28	1247
29	1283
30	1669
31	1407
32	1473
33	1437
34	1278
35	1087
36	1504
37	1262
38	1115
39	1196
40	1406
41	1359
42	1144
43	1305
44	1284
45	910
46	1309
47	1502
48	1260
49	1381
50	1599
51	1287
52	1171
53	1195
54	1233
55	1420
56	1324
57	1198
58	970
59	1029
60	1104
61	1088
62	1511
63	1292
64	1141
65	1182
66	1128
67	1284
68	1093
69	1056
70	1062
71	1176
72	1105
73	1131
74	1104
75	1273
76	1346
77	1207
78	1169
79	1074
80	1056
81	1151
82	1243
83	1386
84	864
85	974
86	1099
87	945
88	1085
89	1168
90	1279
91	1114
92	1144
93	1115
94	1234
95	1117
96	1363
97	1376
98	1111
99	1126
100	1212
101	1268
102	1149
103	1111
104	978
105	1421
106	1493
107	1283
108	982
109	868
110	1164
111	1200
112	1123
113	1123
114	1040
115	1260
116	1045
117	1265
118	1021
119	1237
120	1031
121	1111
122	1256
123	1185
124	1292
125	1340
126	1282
127	1109
128	949426
